error,event_message,id,level,msg,path,status,timestamp
null,"{""component"":""api"",""duration"":4503519,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.171.152.166"",""request_id"":""9bdbc1c145184195-LHR"",""status"":200,""time"":""2026-01-14T08:27:54Z""}",a9a30960-af6e-4d89-b111-3b873bc5e3c3,info,request completed,/user,200,1768379274000000
null,"{""component"":""api"",""duration"":8574892,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""3.11.79.84"",""request_id"":""9bdbc1b600cbb6d8-LHR"",""status"":200,""time"":""2026-01-14T08:27:52Z""}",4dcd9f7e-4579-4367-9ac6-69637eaf25b3,info,request completed,/user,200,1768379272000000
null,"{""component"":""api"",""duration"":16703593,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.169.243.193"",""request_id"":""9bdbc1b3b455ed12-LHR"",""status"":200,""time"":""2026-01-14T08:27:52Z""}",ada4dcc8-7425-4d55-bb54-c5e1e330a96e,info,request completed,/user,200,1768379272000000
null,"{""component"":""api"",""duration"":7060471,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.175.213.232"",""request_id"":""9bdbc1b3b1b5cd38-LHR"",""status"":200,""time"":""2026-01-14T08:27:52Z""}",c02cc19e-5c8b-4ad4-95a3-ca9012f13ae3,info,request completed,/user,200,1768379272000000
null,"{""component"":""api"",""duration"":5449517,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.134.15.118"",""request_id"":""9bdbc1b3d72e9499-LHR"",""status"":200,""time"":""2026-01-14T08:27:52Z""}",50418827-7ca2-4322-9aed-a0ed07c73608,info,request completed,/user,200,1768379272000000
null,"{""component"":""api"",""duration"":4230273,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.170.34.215"",""request_id"":""9bdbc1b3c49bba87-LHR"",""status"":200,""time"":""2026-01-14T08:27:52Z""}",0a9212b2-02d6-4a24-8afc-5524226b7d2b,info,request completed,/user,200,1768379272000000
null,"{""component"":""api"",""duration"":5808998,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""3.9.170.139"",""request_id"":""9bdbc1b3a7df1674-LHR"",""status"":200,""time"":""2026-01-14T08:27:52Z""}",97543190-913b-45a8-92fe-476868c58cda,info,request completed,/user,200,1768379272000000
null,"{""component"":""api"",""duration"":10653168,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""18.170.30.186"",""request_id"":""9bdbc1b3f70d57a5-LHR"",""status"":200,""time"":""2026-01-14T08:27:52Z""}",4955a485-5613-43cd-8087-955868fabc64,info,request completed,/user,200,1768379272000000
null,"{""component"":""api"",""duration"":28268198,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""35.178.213.48"",""request_id"":""9bdbc1b3b19090ba-LHR"",""status"":200,""time"":""2026-01-14T08:27:52Z""}",4b0830d3-6c53-47ef-8a80-abea32121b13,info,request completed,/user,200,1768379272000000
null,"{""component"":""api"",""duration"":8208035,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""35.179.161.79"",""request_id"":""9bdbc1b3a40798d9-LHR"",""status"":200,""time"":""2026-01-14T08:27:52Z""}",9b9505d6-146a-40bc-b8b1-6d31e9f232f0,info,request completed,/user,200,1768379272000000
null,"{""component"":""api"",""duration"":9979358,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc1b113c3f667-LHR"",""status"":200,""time"":""2026-01-14T08:27:51Z""}",1fdbfd78-3991-4644-8cf1-3abae7ec1c46,info,request completed,/user,200,1768379271000000
null,"{""component"":""api"",""duration"":4208620,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc1b1d3f9f667-LHR"",""status"":200,""time"":""2026-01-14T08:27:51Z""}",2cbbf86b-ed57-4ba0-9a74-8b2b45a6fd25,info,request completed,/user,200,1768379271000000
null,"{""component"":""api"",""duration"":18068665,""level"":""info"",""method"":""GET"",""msg"":""request completed"",""path"":""/user"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc1afd36ff667-LHR"",""status"":200,""time"":""2026-01-14T08:27:51Z""}",d95ca9d7-3c3f-4729-8376-ea40889c5cbd,info,request completed,/user,200,1768379271000000
null,"{""action"":""login"",""instance_id"":""00000000-0000-0000-0000-000000000000"",""level"":""info"",""login_method"":""token"",""metering"":true,""msg"":""Login"",""time"":""2026-01-14T08:27:49Z"",""user_id"":""86efedad-648b-4754-8f49-5ade8d3d4c49""}",8b0b9d97-e91d-4939-8a63-73612cab1e64,info,Login,null,null,1768379269000000
null,"{""auth_event"":{""action"":""token_refreshed"",""actor_id"":""86efedad-648b-4754-8f49-5ade8d3d4c49"",""actor_username"":""447795358266"",""actor_via_sso"":false,""log_type"":""token""},""component"":""api"",""duration"":333643635,""grant_type"":""refresh_token"",""level"":""info"",""method"":""POST"",""msg"":""request completed"",""path"":""/token"",""referer"":""http://localhost:3000"",""remote_addr"":""45.94.63.44"",""request_id"":""9bdbc19e4514f667-LHR"",""status"":200,""time"":""2026-01-14T08:27:49Z""}",5e587132-847c-4dcc-90c7-519c5e6899ea,info,request completed,/token,200,1768379269000000
